"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","path","service","native_file_system","share_type"
"1722307129.437520","CGUgJl1z2rIzHzKpfa","172.16.1.66","49692","172.16.1.4","445","\\\\wiresharkworkshop.online\\IPC$","-","-"
"1722307129.560605","CsCzUk7aUmd7V2Gs8","172.16.1.66","49694","172.16.1.4","445","\\\\WIRESHARK-WS-DC.wiresharkworkshop.online\\sysvol","-","-"
"1722307152.785612","CsCzUk7aUmd7V2Gs8","172.16.1.66","49694","172.16.1.4","445","\\\\WIRESHARK-WS-DC.wiresharkworkshop.online\\IPC$","-","-"
"1722307153.033057","CQHVjW2TFpARzQXO3","172.16.1.66","49728","172.16.1.4","445","\\\\WIRESHARK-WS-DC\\Shared_Access","-","-"
"1722307188.960186","CsCzUk7aUmd7V2Gs8","172.16.1.66","49694","172.16.1.4","445","\\\\WIRESHARK-WS-DC.wiresharkworkshop.online\\IPC$","-","-"
"1722307206.305858","CQHVjW2TFpARzQXO3","172.16.1.66","49728","172.16.1.4","445","\\\\WIRESHARK-WS-DC\\IPC$","-","-"
"1722307270.497988","CNa3gF4NhBS4huwc45","172.16.1.66","49788","172.16.1.4","139","\\\\WIRESHARK-WS-DC\\IPC$","IPC","-"
"1722307300.510695","CUVJVaera5JediLDf","172.16.1.66","49789","172.16.1.4","139","\\\\WIRESHARK-WS-DC\\IPC$","IPC","-"
"1722307330.540751","CBIeDE14bTxogIQDQl","172.16.1.66","49790","172.16.1.4","139","\\\\WIRESHARK-WS-DC\\IPC$","IPC","-"
"1722307360.558654","CosNvM2dhzogXidBT1","172.16.1.66","49804","172.16.1.4","139","\\\\WIRESHARK-WS-DC\\IPC$","IPC","-"
"1722307390.588417","C2mVc030j1gUHFi9m9","172.16.1.66","49805","172.16.1.4","139","\\\\WIRESHARK-WS-DC\\IPC$","IPC","-"